date,arm,510300.SH,159915.SZ,513100.SH,518880.SH
2016-05-31,A2,0.0,0.0,1.0,0.0
2016-06-16,A2,0.0,1.0,0.0,0.0
2016-06-27,A2,0.0,0.0,0.0,1.0
2016-07-19,A2,0.0,1.0,0.0,0.0
2016-07-26,A2,0.0,0.0,1.0,0.0
2016-08-26,A2,1.0,0.0,0.0,0.0
2016-09-05,A2,0.0,1.0,0.0,0.0
2016-09-21,A2,0.0,0.0,1.0,0.0
2016-10-26,A2,1.0,0.0,0.0,0.0
2016-12-09,A2,0.0,0.0,1.0,0.0
2017-01-17,A2,0.0,0.0,0.0,1.0
2017-02-10,A2,0.0,0.0,1.0,0.0
2017-03-28,A2,0.0,1.0,0.0,0.0
2017-04-06,A2,0.0,0.0,0.0,1.0
2017-05-03,A2,0.0,0.0,1.0,0.0
2017-06-09,A2,1.0,0.0,0.0,0.0
2017-08-03,A2,0.0,0.0,1.0,0.0
2017-08-11,A2,0.0,0.0,0.0,1.0
2017-08-18,A2,0.0,1.0,0.0,0.0
2017-10-09,A2,0.0,0.0,1.0,0.0
2017-10-30,A2,1.0,0.0,0.0,0.0
2017-11-06,A2,0.0,0.0,1.0,0.0
2017-11-17,A2,1.0,0.0,0.0,0.0
2017-11-28,A2,0.0,0.0,1.0,0.0
2018-01-08,A2,1.0,0.0,0.0,0.0
2018-01-16,A2,0.0,0.0,0.0,1.0
2018-01-23,A2,1.0,0.0,0.0,0.0
2018-02-13,A2,0.0,0.0,0.0,1.0
